Gradient Profiler Text Data File: 4.24.140214_r1_s1.csv
Date: 2014-02-14
Time: 17:32:53

User: MK
Experiment name: test
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: 11 10.0% to 50.0% w/v
Time: 3
w2t: 1 x 10^0
Sample Volume: 0.9 ml
Number of Tubes: 6
Volume per mm: 0.143 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event Mark Delay
UV Wavelength: 254 nm
Samples / sec: 12 Hz
EM1 Speed: 0.20 mm/sec
Distance: 72.00 mm
Number: 1
Dead Volume: 0.241868 ml; Distance due to Dead Volume: 1.69 mm
Total Distance: 72.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 1.989477, 0, 0.000
0.00, 1.989085, , 
0.00, 1.987879, , 
0.00, 1.987304, , 
0.00, 1.986737, , 
0.00, 1.986464, , 
0.00, 1.986234, , 
0.00, 1.985710, , 
0.00, 1.984727, , 
0.00, 1.984013, , 
0.00, 1.983161, , 
0.00, 1.982138, , 
0.00, 1.981222, , 
0.00, 1.980068, , 
0.00, 1.978696, , 
0.00, 1.977015, , 
0.00, 1.975322, , 
0.00, 1.973261, , 
0.00, 1.970878, , 
0.00, 1.966758, , 
0.00, 1.962417, , 
0.00, 1.959078, , 
0.00, 1.955807, , 
0.00, 1.952837, , 
0.00, 1.949808, , 
0.00, 1.946850, , 
0.00, 1.944087, , 
0.00, 1.941220, , 
0.00, 1.938980, , 
0.00, 1.936684, , 
0.00, 1.934361, , 
0.00, 1.931974, , 
0.00, 1.928774, , 
0.00, 1.925507, , 
0.00, 1.921665, , 
0.00, 1.917617, , 
0.00, 1.913676, , 
0.00, 1.908537, , 
0.00, 1.903696, , 
0.00, 1.899010, , 
0.00, 1.895616, , 
0.00, 1.891623, , 
0.00, 1.887238, , 
0.00, 1.882508, , 
0.00, 1.878412, , 
0.00, 1.875073, , 
0.00, 1.871822, , 
0.00, 1.869598, , 
0.00, 1.867703, , 
0.00, 1.866144, , 
0.00, 1.864931, , 
0.00, 1.863817, , 
0.00, 1.862992, , 
0.00, 1.862298, , 
0.00, 1.861938, , 
