Gradient Profiler Text Data File: 4.24.140128_samp3.csv
Date: 2014-01-28
Time: 18:03:16

User: MK
Experiment name: 4.24.140128
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: 11 10.0% to 50.0% w/v
Time: 3
w2t: 1 x 10^0
Sample Volume: 0.9 ml
Number of Tubes: 6
Volume per mm: 0.143 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event Mark Delay
UV Wavelength: 254 nm
Samples / sec: 12 Hz
EM1 Speed: 0.20 mm/sec
Distance: 72.00 mm
Number: 1
Dead Volume: 0.241868 ml; Distance due to Dead Volume: 1.69 mm
Total Distance: 72.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.042191, 0, 0.000
0.00, 0.041128, , 
0.00, 0.038975, , 
0.00, 0.038860, , 
0.00, 0.039522, , 
0.00, 0.039828, , 
0.00, 0.039776, , 
0.00, 0.039717, , 
0.00, 0.040022, , 
0.00, 0.041164, , 
0.00, 0.041925, , 
0.00, 0.042238, , 
0.00, 0.042345, , 
0.00, 0.042488, , 
0.00, 0.042754, , 
0.00, 0.042912, , 
0.00, 0.042964, , 
0.00, 0.042920, , 
0.00, 0.042976, , 
0.00, 0.043230, , 
0.00, 0.043456, , 
0.00, 0.043773, , 
0.00, 0.044316, , 
0.00, 0.045347, , 
0.00, 0.046572, , 
0.00, 0.048305, , 
0.00, 0.051096, , 
0.00, 0.056409, , 
0.00, 0.067681, , 
0.00, 0.081642, , 
0.00, 0.099849, , 
0.00, 0.124526, , 
0.00, 0.158973, , 
0.00, 0.214677, , 
0.00, 0.272965, , 
0.00, 0.341419, , 
0.00, 0.418220, , 
0.00, 0.501007, , 
0.00, 0.604039, , 
0.00, 0.691684, , 
0.00, 0.780209, , 
0.00, 0.870470, , 
0.00, 0.960303, , 
0.00, 1.068625, , 
0.00, 1.158930, , 
0.00, 1.249853, , 
0.00, 1.340131, , 
0.00, 1.446454, , 
0.00, 1.531862, , 
0.00, 1.613757, , 
0.00, 1.692295, , 
0.00, 1.765983, , 
0.00, 1.845876, , 
0.00, 1.902106, , 
0.00, 1.947501, , 
0.00, 1.981238, , 
0.00, 2.002867, , 
0.00, 2.017481, , 
0.00, 2.023984, , 
0.00, 2.027465, , 
0.00, 2.029217, , 
0.00, 2.030050, , 
0.00, 2.030482, , 
0.00, 2.030946, , 
0.00, 2.031327, , 
0.00, 2.031585, , 
0.00, 2.031739, , 
0.00, 2.031929, , 
0.00, 2.032203, , 
0.00, 2.032322, , 
0.00, 2.032318, , 
0.00, 2.032290, , 
0.00, 2.032370, , 
0.00, 2.032512, , 
0.00, 2.032536, , 
0.00, 2.032496, , 
0.00, 2.032481, , 
0.00, 2.032619, , 
0.00, 2.032742, , 
0.00, 2.032711, , 
0.00, 2.032631, , 
0.00, 2.032671, , 
0.00, 2.032830, , 
0.00, 2.032941, , 
0.00, 2.032873, , 
0.00, 2.032707, , 
0.00, 2.032687, , 
0.00, 2.032818, , 
0.00, 2.032968, , 
0.00, 2.032913, , 
0.00, 2.032318, , 
0.00, 2.032029, , 
0.00, 2.032215, , 
0.00, 2.032548, , 
0.00, 2.032770, , 
0.00, 2.032826, , 
0.00, 2.032853, , 
0.00, 2.032960, , 
0.00, 2.033024, , 
0.00, 2.032960, , 
0.00, 2.032893, , 
0.00, 2.032964, , 
0.01, 2.033115, , 
0.03, 2.033111, , 
0.04, 2.032976, , 
0.06, 2.032905, , 
0.08, 2.033024, , 
0.09, 2.032929, , 
0.11, 2.032385, , 
0.13, 2.031442, , 
0.14, 2.031113, , 
0.16, 2.030970, , 
0.18, 2.031002, , 
0.19, 2.030978, , 
0.21, 2.030815, , 
0.23, 2.030938, , 
0.24, 2.031620, , 
0.26, 2.032334, , 
0.28, 2.032766, , 
0.29, 2.032948, , 
0.31, 2.032992, , 
0.33, 2.032861, , 
0.34, 2.032738, , 
0.36, 2.032639, , 
0.38, 2.032659, , 
0.39, 2.032857, , 
0.41, 2.033135, , 
0.43, 2.033266, , 
0.45, 2.033163, , 
0.46, 2.033052, , 
0.48, 2.033091, , 
0.49, 2.033226, , 
0.51, 2.033305, , 
0.53, 2.033194, , 
0.54, 2.033016, , 
0.56, 2.032996, , 
0.58, 2.033186, , 
0.59, 2.033297, , 
0.61, 2.033222, , 
0.63, 2.033135, , 
0.64, 2.033119, , 
0.66, 2.033210, , 
0.68, 2.033289, , 
0.69, 2.033250, , 
0.71, 2.033202, , 
0.73, 2.033246, , 
0.74, 2.033297, , 
0.76, 2.033242, , 
0.78, 2.033131, , 
0.79, 2.033147, , 
0.81, 2.033282, , 
0.83, 2.033377, , 
0.85, 2.033313, , 
0.86, 2.033186, , 
0.88, 2.033163, , 
0.89, 2.033297, , 
0.91, 2.033448, , 
0.93, 2.033400, , 
0.94, 2.033230, , 
0.96, 2.033115, , 
0.98, 2.033159, , 
0.99, 2.033178, , 
1.01, 2.032865, , 
1.03, 2.032322, , 
1.04, 2.031493, , 
1.06, 2.030490, , 
1.08, 2.029233, , 
1.09, 2.027223, , 
1.11, 2.025181, , 
1.13, 2.022945, , 
1.14, 2.020419, , 
1.16, 2.017454, , 
1.18, 2.013207, , 
1.19, 2.009333, , 
1.21, 2.005349, , 
1.23, 2.001130, , 
1.25, 1.995405, , 
1.26, 1.990052, , 
1.28, 1.984358, , 
1.29, 1.978637, , 
1.31, 1.972662, , 
1.33, 1.964681, , 
1.34, 1.957524, , 
1.36, 1.950486, , 
1.38, 1.943698, , 
1.39, 1.936811, , 
1.41, 1.928235, , 
1.43, 1.921158, , 
1.44, 1.914160, , 
1.46, 1.907205, , 
1.48, 1.900342, , 
1.49, 1.891889, , 
1.51, 1.884815, , 
1.53, 1.877750, , 
1.54, 1.870716, , 
1.56, 1.862132, , 
1.58, 1.854828, , 
1.59, 1.847382, , 
1.61, 1.840031, , 
1.63, 1.832867, , 
1.64, 1.824386, , 
1.66, 1.817213, , 
1.68, 1.809870, , 
1.69, 1.802523, , 
1.71, 1.795164, , 
1.73, 1.786069, , 
1.74, 1.778167, , 
1.76, 1.770118, , 
1.78, 1.762093, , 
1.79, 1.753985, , 
1.81, 1.744053, , 
1.83, 1.735901, , 
1.84, 1.727880, , 
1.86, 1.719997, , 
1.88, 1.710616, , 
1.89, 1.702627, , 
1.91, 1.694614, , 
1.93, 1.686565, , 
1.94, 1.678386, , 
1.96, 1.668509, , 
1.98, 1.660092, , 
1.99, 1.651523, , 
2.01, 1.642832, , 
2.03, 1.634585, , 
2.04, 1.625022, , 
2.06, 1.617044, , 
2.08, 1.608857, , 
2.09, 1.600566, , 
2.11, 1.592561, , 
2.13, 1.582970, , 
2.14, 1.574751, , 
2.16, 1.566258, , 
2.18, 1.557773, , 
2.19, 1.549236, , 
2.21, 1.538725, , 
2.23, 1.530050, , 
2.24, 1.521450, , 
2.26, 1.512945, , 
2.28, 1.502752, , 
2.29, 1.494179, , 
2.31, 1.485421, , 
2.33, 1.476536, , 
2.34, 1.467730, , 
2.36, 1.457468, , 
2.38, 1.448884, , 
2.39, 1.440241, , 
2.41, 1.431506, , 
2.43, 1.422767, , 
2.44, 1.412526, , 
2.46, 1.403898, , 
2.48, 1.395160, , 
2.49, 1.386393, , 
2.51, 1.377678, , 
2.53, 1.367469, , 
2.54, 1.358857, , 
2.56, 1.350134, , 
2.58, 1.341276, , 
2.59, 1.332534, , 
2.61, 1.322118, , 
2.63, 1.313558, , 
2.64, 1.304974, , 
2.66, 1.296342, , 
2.68, 1.286152, , 
2.69, 1.277628, , 
2.71, 1.268944, , 
2.73, 1.260170, , 
2.74, 1.251507, , 
2.76, 1.241353, , 
2.78, 1.232899, , 
2.79, 1.224145, , 
2.81, 1.215374, , 
2.83, 1.206882, , 
2.84, 1.196866, , 
2.86, 1.188425, , 
2.88, 1.179845, , 
2.89, 1.171277, , 
2.91, 1.162879, , 
2.93, 1.152963, , 
2.94, 1.144676, , 
2.96, 1.136314, , 
2.98, 1.127972, , 
3.00, 1.118107, , 
3.01, 1.109880, , 
3.03, 1.101803, , 
3.04, 1.093699, , 
3.06, 1.085611, , 
3.08, 1.075948, , 
3.09, 1.067903, , 
3.11, 1.059775, , 
3.13, 1.051425, , 
