,deltaTEM1X,3pMFE,median3,median5,WT_rpkm,WT_TE,5pMFE,pALe,tAI,ORFLen
Q0010,,NaN,NaN,NaN,,,NaN,NaN,NaN,387
Q0017,,NaN,NaN,NaN,,,NaN,NaN,NaN,162
Q0032,,NaN,NaN,NaN,,,NaN,NaN,NaN,291
Q0045,,NaN,NaN,NaN,1.695946213432532,NaN,NaN,NaN,NaN,1605
Q0050,,NaN,NaN,NaN,1.9494223006050002,NaN,NaN,NaN,NaN,2505
Q0055,,NaN,NaN,NaN,1.7388031881162638,NaN,NaN,NaN,NaN,2565
Q0060,,NaN,NaN,NaN,,,NaN,NaN,NaN,1248
Q0065,,NaN,NaN,NaN,1.4918756178714734,NaN,NaN,NaN,NaN,1671
Q0070,,NaN,NaN,NaN,,,NaN,NaN,NaN,1893
Q0075,,NaN,NaN,NaN,,,NaN,NaN,NaN,1065
Q0080,,NaN,NaN,NaN,,,NaN,NaN,NaN,147
Q0085,,NaN,NaN,NaN,1.7886369069910761,NaN,NaN,NaN,NaN,780
Q0092,,NaN,NaN,NaN,,,NaN,NaN,NaN,141
Q0105,,NaN,NaN,NaN,,,NaN,NaN,NaN,1158
Q0110,,NaN,NaN,NaN,,,NaN,NaN,NaN,1272
Q0115,,NaN,NaN,NaN,,,NaN,NaN,NaN,1554
Q0120,,NaN,NaN,NaN,,,NaN,NaN,NaN,1917
Q0130,,NaN,NaN,NaN,1.8772291316722185,NaN,NaN,NaN,NaN,231
Q0140,,NaN,NaN,NaN,2.2126694098582176,NaN,NaN,NaN,NaN,1197
Q0142,,NaN,NaN,NaN,,,NaN,NaN,NaN,177
Q0143,,NaN,NaN,NaN,,,NaN,NaN,NaN,153
Q0144,,NaN,NaN,NaN,,,NaN,NaN,NaN,330
Q0160,,NaN,NaN,NaN,2.222945786576764,NaN,NaN,NaN,NaN,708
Q0182,,NaN,NaN,NaN,,,NaN,NaN,NaN,405
Q0250,,NaN,NaN,NaN,1.5231234178712036,NaN,NaN,NaN,NaN,756
Q0255,,NaN,NaN,NaN,,,NaN,NaN,NaN,1419
Q0275,,NaN,NaN,NaN,,,NaN,NaN,NaN,810
Q0297,,NaN,NaN,NaN,,,NaN,NaN,NaN,156
R0010W,,NaN,NaN,NaN,,,NaN,NaN,NaN,1272
R0020C,,NaN,NaN,NaN,,,NaN,NaN,NaN,1122
R0030W,,NaN,NaN,NaN,,,NaN,NaN,NaN,546
R0040C,,NaN,NaN,NaN,,,NaN,NaN,NaN,891
YAL001C,0.4052348919717994,NaN,NaN,NaN,2.6878311740273833,-0.1510574683990752,NaN,31.1,0.345292052,3483
YAL002W,-0.2999547968259534,-2.26,56,95,2.638350999345012,-0.4470334160508352,-13.52,36.2,0.344367246,3825
YAL003W,-0.4415496700860103,-29.0,211,33,3.82570029382044,0.4938329233434008,-0.61,27.5,0.624910887,621
YAL004W,,-163.34,745,1963,,,-595.25,NaN,NaN,648
YAL005C,0.22059522639638995,-24.63,146,62,2.8087397685297817,0.5728991931884064,-2.95,,0.604985041,1929
YAL007C,-0.29403597027529904,-21.99,146,69,2.6504989512835135,0.22912009232240643,-10.87,25.3,0.419756242,648
YAL008W,-0.026924902541186957,-24.76,132,48,1.8259365479356078,0.17857534863637617,-4.82,31.8,0.368531318,597
YAL009W,-0.33555983513006704,-23.1,112,25,2.0916837372703965,-0.35965832824213423,-0.52,35.5,0.3158941,780
YAL010C,0.15196465627726152,-13.8,109,34,2.0973494977706046,-0.040129607470116985,-1.14,35.1,0.312867389,1482
YAL011W,0.2263009394733189,-11.1,106,14,2.4520642002200117,-0.44667841187821267,0.0,39.1,0.362348627,1878
YAL012W,0.116227235012944,-9.9,99,55,3.307758814203742,0.44786447475201063,0.0,32.9,0.483799613,1185
YAL013W,0.0993641718705775,-6.49,101,34,2.6067490522786247,-0.035568690246147526,-3.76,37.7,0.327309892,1218
YAL014C,-0.35364580192240863,-15.78,148,40,2.501404016031751,-0.24441576147126662,-3.86,33.4,0.328318421,768
YAL015C,0.29797469806403,-3.5,67,0,2.247001366260176,-0.2959442250118097,0.0,40.7,0.349839341,1200
YAL016C-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,315
YAL016C-B,,NaN,NaN,NaN,,,NaN,NaN,NaN,186
YAL016W,0.27904956513915197,-11.97,84,81,2.9248020698602253,0.18316426200344124,-18.08,28.3,0.389024616,1908
YAL017W,0.0956085676468397,NaN,NaN,NaN,2.6802832569665163,-0.14705520887703677,NaN,,0.345274808,4071
YAL018C,,-14.68,138,50,,,-5.88,NaN,NaN,978
YAL019W,0.1865652336445807,0.0,49,110,2.919390614715569,0.023744339781729722,-29.5,27.2,0.38358778,3396
YAL019W-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,570
YAL020C,0.20107371387873801,-18.94,112,17,2.4154711247400567,-0.61296645655269,0.0,NaN,NaN,1002
YAL021C,-0.31156999384370004,-14.89,230,61,2.9134799444541852,0.19320775516255148,-12.21,28.5,0.366092052,2514
YAL022C,-0.3230933216565717,-9.21,64,16,2.4589153949936984,-0.10385018052318584,0.0,39.1,0.343905722,1554
YAL023C,-0.241078557470077,-12.68,115,100,3.405442506288152,-0.03658917267385071,-19.85,28.7,0.417375493,2280
YAL024C,0.25812351169590997,NaN,NaN,NaN,2.7069229827382637,-0.24821869972827473,NaN,34.2,0.327930262,4308
YAL025C,-0.12999623268225421,-30.74,187,29,2.7807550873070737,0.12207502866148864,-0.77,38.6,0.434335633,921
YAL026C,0.188555944987009,-8.26,144,86,2.8511404438557992,-0.2158628165037532,-15.85,,0.395343403,4068
YAL026C-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,438
YAL027W,0.16186352406940602,-11.42,101,80,1.9616341259735033,-0.06233836359651172,-8.97,38.3,0.343903163,786
YAL028W,-0.633259757419085,-2.96,43,51,1.9714185495774557,-0.332942590257135,-6.06,NaN,NaN,1587
YAL029C,0.2978470606111594,-12.73,61,252,3.0689027907653483,-0.414875641740692,-30.18,32.2,0.369798432,4416
YAL030W,0.029684500713086606,-28.42,133,22,2.0433711144916,0.24525417762982155,-1.18,25.5,0.316957322,354
YAL031C,0.049942958999773024,-10.16,125,42,2.4131169053318673,-0.2593806439559278,-4.89,36.5,0.337005158,2283
YAL031W-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,309
YAL032C,-0.41347078926989983,-24.31,131,20,2.1551421781825284,0.04225503425414203,0.0,37.7,0.360680798,1140
